"Policy","Version","Reference ID","Type","Evaluation type","Default effect"
"/providers/microsoft.authorization/policydefinitions/b88bfd90-4da5-43eb-936f-ae1481924291","1.*.*","keyvault-managedhsms","","",""
"/providers/microsoft.authorization/policydefinitions/6b359d8f-f88d-4052-aa7c-32015963ecc1","1.*.*","keyvault-vaults","","",""
"/providers/microsoft.authorization/policydefinitions/a819f227-229d-44cb-8ad6-25becdb4451f","1.*.*","kusto-clusters","","",""
"/providers/microsoft.authorization/policydefinitions/75a112bc-759f-4f29-83cc-799019db39c3","1.*.*","loadtestservice-loadtests","","",""
"/providers/microsoft.authorization/policydefinitions/1840aef8-71df-4a30-a108-efdb4f291a7f","1.*.*","logic-integrationaccounts","","",""
"/providers/microsoft.authorization/policydefinitions/63d1a629-735c-448b-b45f-5e3865e84cf5","1.*.*","logic-workflows","","",""
"/providers/microsoft.authorization/policydefinitions/33835ef6-bc67-4bde-bf5f-5a857f195a57","1.*.*","machinelearningservices-registries","","",""
"/providers/microsoft.authorization/policydefinitions/90c90eda-bfe7-4c67-bf26-410420ed1047","1.*.*","machinelearningservices-workspaces","","",""
"/providers/microsoft.authorization/policydefinitions/5cfb9e8a-2f13-40bd-a527-c89bc596d299","1.*.*","machinelearningservices-workspaces-onlineendpoints","","",""
"/providers/microsoft.authorization/policydefinitions/d7d59290-3ee5-4c1b-b408-c38b21799aea","1.*.*","managednetworkfabric-networkdevices","","",""
"/providers/microsoft.authorization/policydefinitions/69214fad-6742-49a9-8f71-ee9d269364ab","1.*.*","media-mediaservices","","",""
"/providers/microsoft.authorization/policydefinitions/34c7546c-d637-4b5d-96ab-93fb6ed07af8","1.*.*","media-videoanalyzers","","",""
"/providers/microsoft.authorization/policydefinitions/5d487647-6a53-4839-8eb8-edccf5e6bf1d","1.*.*","media-mediaservices-liveevents","","",""
"/providers/microsoft.authorization/policydefinitions/be26ca28-761d-4538-b78a-975eb47c680c","1.*.*","media-mediaservices-streamingendpoints","","",""
"/providers/microsoft.authorization/policydefinitions/c3b912c2-7f5b-47ac-bd52-8c85a7667961","1.*.*","netapp-netappaccounts-capacitypools-volumes","","",""
"/providers/microsoft.authorization/policydefinitions/92012204-a7e4-4a95-bbe5-90d0d3e12735","1.*.*","network-applicationgateways","","",""
"/providers/microsoft.authorization/policydefinitions/5fcf46f9-194c-47ff-8889-380f57ae4617","1.*.*","network-azurefirewalls","","",""
"/providers/microsoft.authorization/policydefinitions/f8352124-56fa-4f94-9441-425109cdc14b","1.*.*","network-bastionhosts","","",""
"/providers/microsoft.authorization/policydefinitions/dc1b5908-da05-4eed-a988-c5e32fdb682d","1.*.*","network-dnsresolverpolicies","","",""
"/providers/microsoft.authorization/policydefinitions/c5ecf495-6caa-445c-b431-04fda56c555a","1.*.*","network-expressroutecircuits","","",""
"/providers/microsoft.authorization/policydefinitions/e9c56c41-d453-4a80-af93-2331afeb3d82","1.*.*","network-frontdoors","","",""
"/providers/microsoft.authorization/policydefinitions/889bfebf-7428-426e-a86f-79e2a7de2f71","1.*.*","network-loadbalancers","","",""
"/providers/microsoft.authorization/policydefinitions/23673f24-2594-43e9-9983-60a0be21bd76","1.*.*","network-networkmanagers","","",""
"/providers/microsoft.authorization/policydefinitions/6ee1c58c-a123-4cd6-8643-48b2f7ffb3e1","1.*.*","network-networkmanagers-ipampools","","",""
"/providers/microsoft.authorization/policydefinitions/baa4c6de-b7cf-4b12-b436-6e40ef44c8cb","1.*.*","network-networksecuritygroups","","",""
"/providers/microsoft.authorization/policydefinitions/0ebe872d-7029-4292-88bc-ad3e2cf3772f","1.*.*","network-networksecurityperimeters","","",""
"/providers/microsoft.authorization/policydefinitions/cac9e1c5-c3cb-47fa-8d4c-88b8559262d2","1.*.*","network-p2svpngateways","","",""
"/providers/microsoft.authorization/policydefinitions/1513498c-3091-461a-b321-e9b433218d28","1.*.*","network-publicipaddresses","","",""
"/providers/microsoft.authorization/policydefinitions/b55f2e8e-dc76-4262-a0e3-45f02200ff0e","1.*.*","network-publicipprefixes","","",""
"/providers/microsoft.authorization/policydefinitions/1118afbc-c48d-43ae-931a-87b38956d40b","1.*.*","network-trafficmanagerprofiles","","",""
"/providers/microsoft.authorization/policydefinitions/ed6ae75a-828f-4fea-88fd-dead1145f1dd","1.*.*","network-virtualnetworkgateways","","",""
"/providers/microsoft.authorization/policydefinitions/3234ff41-8bec-40a3-b5cb-109c95f1c8ce","1.*.*","network-virtualnetworks","","",""
"/providers/microsoft.authorization/policydefinitions/d8624de8-47fe-47c0-bea0-2d8329b628fe","1.*.*","network-vpngateways","","",""
"/providers/microsoft.authorization/policydefinitions/0e861bb0-d926-4cdb-b2d6-d59336b8f5b3","1.*.*","networkanalytics-dataproducts","","",""
"/providers/microsoft.authorization/policydefinitions/a9725bd4-a2ad-479f-a29b-5e163cada399","1.*.*","networkcloud-baremetalmachines","","",""
"/providers/microsoft.authorization/policydefinitions/63a8eb0d-f030-4bc6-a1e4-6998f23aa160","1.*.*","networkcloud-clusters","","",""
"/providers/microsoft.authorization/policydefinitions/4f925033-4d52-4619-909c-9c47a687dc51","1.*.*","networkcloud-storageappliances","","",""
"/providers/microsoft.authorization/policydefinitions/60579569-3633-42cb-ae6a-195080bf310d","1.*.*","networkfunction-azuretrafficcollectors","","",""
"/providers/microsoft.authorization/policydefinitions/69e0da8f-ca50-479d-b1a8-33a31426c512","1.*.*","notificationhubs-namespaces","","",""
"/providers/microsoft.authorization/policydefinitions/54c7cff6-a032-43e1-9656-d4c24665f805","1.*.*","notificationhubs-namespaces-notificationhubs","","",""
"/providers/microsoft.authorization/policydefinitions/14ed86b4-ea45-4b1b-98a5-eb8f5f7da726","1.*.*","openenergyplatform-energyservices","","",""
"/providers/microsoft.authorization/policydefinitions/818719e5-1338-4776-9a9d-3c31e4df5986","1.*.*","operationalinsights-workspaces","","",""
"/providers/microsoft.authorization/policydefinitions/fc2bb2e1-739a-4a03-86a2-16ad55e90bd9","1.*.*","powerbi-tenants-workspaces","","",""
"/providers/microsoft.authorization/policydefinitions/7a8afaba-cc24-4306-b83f-d178f1a10ba2","1.*.*","powerbidedicated-capacities","","",""
"/providers/microsoft.authorization/policydefinitions/4cabf9fc-4ed1-4990-bbaf-7248fb8751bc","1.*.*","purview-accounts","","",""
"/providers/microsoft.authorization/policydefinitions/2f4d1c08-3695-41a7-a0a0-8db4a0e25233","1.*.*","recoveryservices-vaults","","",""
"/providers/microsoft.authorization/policydefinitions/56ae9f08-b8c9-4a0f-8f58-5dbcd63bef84","1.*.*","relay-namespaces","","",""
"/providers/microsoft.authorization/policydefinitions/8def4bdd-4362-4ed6-a26f-7bf8f2c58839","1.*.*","search-searchservices","","",""
"/providers/microsoft.authorization/policydefinitions/0277b2d5-6e6f-4d97-9929-a5c4eab56fd7","1.*.*","servicebus-namespaces","","",""
"/providers/microsoft.authorization/policydefinitions/d3abca82-2ae2-4707-bf5e-cfc765ce9ff1","1.*.*","servicenetworking-trafficcontrollers","","",""
"/providers/microsoft.authorization/policydefinitions/93a604fe-0ec2-4a99-ab8c-7ef08f05555a","1.*.*","signalrservice-signalr","","",""
"/providers/microsoft.authorization/policydefinitions/0da6faeb-d6c6-4f6e-9f49-06277493270b","1.*.*","signalrservice-webpubsub","","",""
"/providers/microsoft.authorization/policydefinitions/8fc4ca5f-6abc-4b30-9565-0bd91ac49420","1.*.*","sql-managedinstances","","",""
"/providers/microsoft.authorization/policydefinitions/8d42b501-dd03-449d-a070-32d1db2e546b","1.*.*","sql-managedinstances-databases","","",""
"/providers/microsoft.authorization/policydefinitions/6567d3f3-42d0-4cfb-9606-9741ba60fa07","1.*.*","sql-servers-databases","","",""
"/providers/microsoft.authorization/policydefinitions/3d28ea18-8e88-4160-96ff-4b6af4fd94c7","1.*.*","storagecache-caches","","",""
"/providers/microsoft.authorization/policydefinitions/e99ab54f-260e-4925-a70f-8fe0a92443ef","1.*.*","storagemover-storagemovers","","",""
"/providers/microsoft.authorization/policydefinitions/2453e322-a7e5-4905-ba1e-ac6ea60ff808","1.*.*","streamanalytics-streamingjobs","","",""
"/providers/microsoft.authorization/policydefinitions/305408ed-dd5a-43b9-80c1-9eea87a176bb","1.*.*","synapse-workspaces","","",""
"/providers/microsoft.authorization/policydefinitions/29565b0a-e1b5-49c1-94bf-b8b258656460","1.*.*","synapse-workspaces-bigdatapools","","",""
"/providers/microsoft.authorization/policydefinitions/887dc342-c6bd-418b-9407-ab0e27deba36","1.*.*","synapse-workspaces-kustopools","","",""
"/providers/microsoft.authorization/policydefinitions/f018b68f-d953-4238-81a3-94a0f39507e3","1.*.*","synapse-workspaces-scopepools","","",""
"/providers/microsoft.authorization/policydefinitions/a271e156-b295-4537-b01d-09675d9e7851","1.*.*","synapse-workspaces-sqlpools","","",""
"/providers/microsoft.authorization/policydefinitions/068e22bd-8057-466b-9642-7cd2ca476158","1.*.*","timeseriesinsights-environments","","",""
"/providers/microsoft.authorization/policydefinitions/a83fcddb-39d0-4c21-af38-76d2c935c3ca","1.*.*","timeseriesinsights-environments-eventsources","","",""
"/providers/microsoft.authorization/policydefinitions/a1a5f3c5-d01a-459c-8398-a3c9a79ad879","1.*.*","videoindexer-accounts","","",""
"/providers/microsoft.authorization/policydefinitions/9dc3e252-1cff-4ae5-bcad-5a92b7167d43","1.*.*","web-hostingenvironments","","",""
"/providers/microsoft.authorization/policydefinitions/1568dd08-cca0-4073-bfd8-e08a7fdc543e","1.*.*","workloads-sapvirtualinstances","","",""
